OrderID,OrderDate,City,Category,Product,Quantity,UnitPrice,DiscountPercent,SalesAmount
2066,28-04-2024,Kolkata,Furniture,Sofa,6,18000,0,108000
2067,01-04-2024,Pune,Apparel,Jacket,7,2500,0,17500
2068,04-04-2024,Mumbai,Apparel,Jeans,5,1500,10,6750
2069,20-04-2024,Hyderabad,Groceries,Atta 10kg,6,350,10,1890
2070,02-04-2024,Kolkata,Electronics,Smartwatch,4,5000,15,17000
2071,14-04-2024,Pune,Groceries,Rice 5kg,4,400,0,1600
2072,17-04-2024,Kolkata,Apparel,Jacket,2,2500,0,5000
2073,18-04-2024,Kolkata,Groceries,Atta 10kg,7,350,0,2450
2074,20-04-2024,Bangalore,Furniture,Sofa,7,18000,10,113400
2075,10-04-2024,Kolkata,Apparel,Shoes,1,2000,0,2000
2076,15-04-2024,Ahmedabad,Groceries,Atta 10kg,8,350,15,2380
2077,10-04-2024,Delhi,Furniture,Sofa,3,18000,10,48600
2078,08-04-2024,Kolkata,Apparel,T-Shirt,4,600,0,2400
2079,16-04-2024,Chennai,Furniture,Office Chair,1,4500,10,4050
2080,23-04-2024,Chennai,Electronics,Smartwatch,7,5000,15,29750
2081,05-05-2024,Chennai,Groceries,Sugar 1kg,7,45,15,267.75
2082,06-05-2024,Chennai,Electronics,Laptop,7,55000,15,327250
2083,15-05-2024,Delhi,Groceries,Rice 5kg,4,400,0,1600
2084,27-05-2024,Hyderabad,Groceries,Atta 10kg,8,350,10,2520
2085,09-05-2024,Ahmedabad,Groceries,Cooking Oil 1L,8,150,0,1200
2086,15-05-2024,Kolkata,Apparel,Shoes,4,2000,0,8000
2087,11-05-2024,Pune,Apparel,Jeans,5,1500,10,6750
2088,13-05-2024,Chennai,Electronics,Mobile Phone,3,15000,15,38250
2089,14-05-2024,Hyderabad,Furniture,Office Table,2,7000,0,14000
2090,27-05-2024,Chennai,Groceries,Sugar 1kg,1,45,5,42.75
2091,01-05-2024,Ahmedabad,Groceries,Rice 5kg,7,400,0,2800
2092,16-05-2024,Chennai,Apparel,Shoes,7,2000,0,14000
2093,13-05-2024,Mumbai,Apparel,Shoes,8,2000,0,16000
2094,20-05-2024,Bangalore,Groceries,Cooking Oil 1L,8,150,10,1080
2095,21-05-2024,Delhi,Electronics,Smartwatch,1,5000,5,4750
2096,09-05-2024,Mumbai,Furniture,Sofa,3,18000,5,51300
2097,11-05-2024,Pune,Apparel,Jeans,8,1500,5,11400
2098,16-05-2024,Delhi,Apparel,Shoes,5,2000,0,10000
2099,25-05-2024,Delhi,Electronics,Headphones,4,2000,15,6800
2100,27-05-2024,Chennai,Electronics,Laptop,4,55000,0,220000
2101,22-06-2024,Ahmedabad,Furniture,Office Table,3,7000,0,21000
2102,06-06-2024,Pune,Furniture,Sofa,5,18000,10,81000
2103,19-06-2024,Delhi,Electronics,Mobile Phone,5,15000,0,75000
2104,03-06-2024,Chennai,Apparel,Shoes,7,2000,10,12600
2105,26-06-2024,Delhi,Furniture,Office Chair,5,4500,10,20250
2106,03-06-2024,Pune,Electronics,Headphones,7,2000,10,12600
2107,04-06-2024,Ahmedabad,Apparel,T-Shirt,7,600,5,3990
2108,06-06-2024,Hyderabad,Apparel,Shoes,3,2000,15,5100
2109,27-06-2024,Hyderabad,Apparel,Shoes,8,2000,15,13600
2110,09-06-2024,Delhi,Apparel,Jacket,4,2500,5,9500
2111,01-06-2024,Pune,Furniture,Sofa,7,18000,5,119700
2112,12-06-2024,Chennai,Apparel,Jeans,8,1500,0,12000
2113,17-06-2024,Mumbai,Apparel,Jacket,5,2500,0,12500
2114,18-06-2024,Ahmedabad,Electronics,Mobile Phone,7,15000,0,105000
2115,03-06-2024,Mumbai,Groceries,Sugar 1kg,8,45,0,360
2116,22-06-2024,Kolkata,Furniture,Sofa,4,18000,10,64800
2117,24-06-2024,Hyderabad,Apparel,Shoes,6,2000,10,10800
2118,10-06-2024,Kolkata,Apparel,Jacket,8,2500,0,20000
2119,04-06-2024,Pune,Furniture,Office Chair,4,4500,15,15300
2120,09-06-2024,Ahmedabad,Furniture,Office Table,4,7000,15,23800
